Longitude,Latitude,Postcode,Locality,State
151.218226,-33.314841,2250, NSW,NSW
151.396906,-33.480714,2251, Kincumber, NSW
151.26075,-33.483887,2256, NSW, NSW
151.343166,-33.516847,2257, Booker Bay, NSW
151.338974,-33.316661,2258, NSW, NSW
151.437236,-33.428108,2260, Wamberal, NSW
151.536635,-33.2084,2262, Colongra, NSW
151.534901,-33.262617,2263, Toukley, NSW
151.461175,-32.258083,2311, NSW, NSW
151.836582,-32.79247,2314, NSW, NSW
152.149661,-32.737793,2315, NSW, NSW
152.041732,-32.771381,2316, NSW, NSW
152.092167,-32.730262,2317, Salamander Bay, NSW
151.873897,-32.751863,2318, Medowie, NSW
151.430314,-32.708982,2320, NSW, NSW
151.632171,-32.644113,2321, NSW, NSW
151.682476,-32.820636,2322, NSW, NSW
151.542563,-32.847162,2323, NSW, NSW
151.916444,-32.65494,2324, NSW, NSW
151.164166,-32.962426,2325, NSW, NSW
151.453196,-32.784869,2326, NSW, NSW
150.526755,-32.542661,2328, NSW, NSW
150.213564,-32.070555,2329, NSW, NSW
151.004557,-32.629258,2330, NSW, NSW
150.809628,-32.261899,2333, NSW, NSW
151.392434,-32.675822,2334, Greta, NSW
151.382264,-32.609845,2335, NSW, NSW
151.074708,-32.133373,2336, NSW, NSW
150.971939,-31.966913,2337, NSW, NSW
151.154195,-31.742344,2338, NSW, NSW
150.537227,-31.738545,2339, NSW, NSW
150.987457,-31.255212,2340, NSW, NSW
150.556283,-31.132359,2342, NSW, NSW
150.446488,-31.515253,2343, NSW, NSW
150.750262,-31.148422,2344, NSW, NSW
150.812428,-30.873951,2345, NSW, NSW
150.57979,-30.612325,2346, NSW, NSW
150.558721,-30.331069,2347, NSW, NSW
151.964749,-30.40199,2350, NSW, NSW
151.640746,-30.490139,2351, Armidale, NSW
151.200409,-31.117877,2352, NSW, NSW
151.047955,-30.949541,2353, NSW, NSW
151.735403,-31.146712,2354, NSW, NSW
151.050863,-30.75408,2355, NSW, NSW
149.011745,-30.556022,2356, NSW, NSW
149.503807,-31.256412,2357, NSW, NSW
151.367181,-30.549155,2358, NSW, NSW
151.111761,-30.158989,2359, NSW, NSW
151.073668,-29.702025,2360, NSW, NSW
151.237317,-29.274251,2361, NSW, NSW
151.801193,-30.074977,2365, NSW, NSW
151.303847,-30.034211,2369, NSW, NSW
151.908315,-29.591866,2370, NSW, NSW
151.763812,-29.468206,2371, NSW, NSW
149.730135,-31.128495,2379, NSW, NSW
150.167924,-30.880668,2380, NSW, NSW
150.121119,-31.326396,2381, NSW, NSW
150.078622,-30.68232,2382, NSW, NSW
148.952481,-29.776661,2387, NSW, NSW
149.32342,-30.382309,2388, NSW, NSW
149.92283,-30.3569,2390, NSW, NSW
149.355832,-31.644929,2395, NSW, NSW
149.043464,-30.956705,2396, NSW, NSW
149.835949,-29.736823,2398, NSW, NSW
149.575673,-29.399237,2400, NSW, NSW
150.333585,-29.608283,2401, NSW, NSW
150.578265,-29.366015,2402, NSW, NSW
150.814341,-29.65494,2403, NSW, NSW
149.622849,-28.906897,2405, NSW, NSW
149.136326,-29.026054,2406, NSW, NSW
150.419042,-28.935224,2408, NSW, NSW
150.162476,-28.740491,2409, NSW, NSW
150.87467,-28.913301,2410, NSW, NSW
150.290886,-29.13763,2411, NSW, NSW
151.820503,-32.240494,2415, NSW, NSW
151.68802,-32.339792,2420, NSW, NSW
151.550329,-32.538016,2421, NSW, NSW
152.233013,-32.381603,2423, NSW, NSW
151.981839,-32.408767,2425, NSW, NSW
152.602735,-31.814428,2426, NSW, NSW
152.676512,-31.859645,2427, NSW, NSW
152.475491,-32.248592,2428, NSW, NSW
152.304119,-31.819713,2429, NSW, NSW
152.486772,-31.892576,2430, Taree, NSW
153.04935,-30.914464,2431, Arakoon, NSW
152.632423,-31.633936,2439, NSW, NSW
152.570482,-30.920497,2440, NSW, NSW
152.708235,-31.685489,2443, NSW, NSW
152.877618,-31.392611,2444, NSW, NSW
152.826271,-31.578139,2445, Grants Beach, NSW
152.44202,-31.376511,2446, NSW, NSW
152.783213,-30.728355,2447, NSW, NSW
152.961012,-30.602198,2448, NSW, NSW
152.718723,-30.610984,2449, NSW, NSW
152.994896,-30.189816,2450, NSW, NSW
153.086997,-30.355402,2452, Toormina, NSW
152.740953,-30.447513,2454, NSW, NSW
152.992992,-30.521334,2455, NSW, NSW
153.153296,-30.068031,2456, NSW, NSW
152.723753,-29.694802,2460, NSW, NSW
153.156341,-29.69337,2462, NSW, NSW
153.188841,-29.447455,2463, NSW, NSW
153.312014,-29.556019,2464, NSW, NSW
153.247189,-29.413768,2465, NSW, NSW
152.641825,-29.031289,2469, NSW, NSW
152.934759,-28.853349,2470, NSW, NSW
153.389759,-29.098381,2473, NSW, NSW
152.937718,-28.507047,2474, NSW, NSW
