postcode,locality,state,latitude,longitude,lgaregion,lgacode
0200,ANU,ACT,-35.2777,149.119,Unincorporated ACT,89399
0200,Australian National University,ACT,-35.2776999,149.118527,Unincorporated ACT,89399
0800,DARWIN,NT,-12.3932794,130.7766611,Darwin Waterfront Precinct,71150
0800,DARWIN CITY,NT,-12.3932794,130.7766611,Darwin Waterfront Precinct,71150
0801,DARWIN,NT,-12.4634403,130.8456418,Darwin,71000
0803,WAGAIT BEACH,NT,0,0,,
0804,PARAP,NT,-12.4324801,130.8462536,Darwin,71000
0810,ALAWA,NT,-12.38,130.873,Darwin,71000
0810,BRINKIN,NT,-12.37,130.867,Darwin,71000
0810,CASUARINA,NT,-12.373333,130.881667,Darwin,71000
0810,COCONUT GROVE,NT,-12.3989,130.852,Darwin,71000
0810,JINGILI,NT,-12.386667,130.875278,Darwin,71000
0810,LEE POINT,NT,-12.339444,130.893056,Darwin,71000
0810,LYONS,NT,-12.3603,130.889,Darwin,71000
0810,MILLNER,NT,-12.391111,130.863208,Darwin,71000
0810,MOIL,NT,-12.388889,130.879167,Darwin,71000
0810,MUIRHEAD,NT,-12.3583,130.896,Darwin,71000
0810,NAKARA,NT,-12.369444,130.878056,Darwin,71000
0810,NIGHTCLIFF,NT,-12.383,130.849,Darwin,71000
0810,RAPID CREEK,NT,-12.380833,130.862222,Darwin,71000
0810,TIWI,NT,-12.363333,130.880278,Darwin,71000
0810,WAGAMAN,NT,-12.3825,130.885,Darwin,71000
0810,WANGURI,NT,-12.3725,130.887778,Darwin,71000
0811,CASUARINA,NT,-12.373333,130.881667,Darwin,71000
0812,ANULA,NT,-12.3928,130.89,Darwin,71000
0812,BUFFALO CREEK,NT,-12.3464,130.921,Darwin,71000
0812,HOLMES,NT,-12.3961,130.921,Darwin,71000
0812,KARAMA,NT,-12.401069,130.916889,Darwin,71000
0812,LEANYER,NT,-12.379444,130.8975,Darwin,71000
0812,MALAK,NT,-12.393,130.904,Darwin,71000
0812,MARRARA,NT,-12.398333,130.88,Darwin,71000
0812,NORTHLAKES,NT,-12.3958,130.895,Darwin,71000
0812,SANDERSON,NT,-12.3889,130.898,Darwin,71000
0812,WOODLEIGH GARDENS,NT,-12.3794,130.898,Darwin,71000
0812,WULAGI,NT,-12.384444,130.893056,Darwin,71000
0813,KARAMA,NT,-19.4914,132.551,Darwin,71000
0813,SANDERSON,NT,-19.4914,132.551,Darwin,71000
0814,NIGHTCLIFF,NT,-12.383,130.849,Darwin,71000
0815,CHARLES DARWIN UNIVERSITY,NT,-12.3718,130.869,Darwin,71000
0820,BAGOT,NT,-12.411487,130.85541,Unincorporated NT,79399
0820,BAYVIEW,NT,-12.4403118,130.860162,Unincorporated NT,79399
0820,CHARLES DARWIN,NT,-12.4359223,130.8786503,Unincorporated NT,79399
0820,COONAWARRA,NT,-12.429722,130.911667,Unincorporated NT,79399
0820,CULLEN BAY,NT,-12.4533181,130.8250685,Unincorporated NT,79399
0820,DARWIN DC,NT,-12.4634,130.846,Unincorporated NT,79399
0820,DARWIN INTERNATIONAL AIRPORT,NT,-12.4154,130.883,Unincorporated NT,79399
0820,DARWIN MC,NT,-12.3964,130.904,Unincorporated NT,79399
0820,EAST POINT,NT,-12.410833,130.822222,Unincorporated NT,79399
0820,EATON,NT,-12.4256,130.865,Unincorporated NT,79399
0820,FANNIE BAY,NT,-12.425,130.836389,Unincorporated NT,79399
0820,LARRAKEYAH,NT,-12.458611,130.821667,Unincorporated NT,79399
0820,LUDMILLA,NT,-12.414524,130.8500471,Unincorporated NT,79399
0820,PARAP,NT,-12.4324801,130.8462536,Unincorporated NT,79399
0820,RAAF BASE DARWIN,NT,-12.4253,130.864,Unincorporated NT,79399
0820,STUART PARK,NT,-12.448611,130.841667,Unincorporated NT,79399
0820,THE GARDENS,NT,-12.448611,130.836389,Unincorporated NT,79399
