postcode,latitude,longitude,place_name,state,category,start_postcode,end_postcode
2259,-33.283598,151.423187,Wyong,New South Wales,Cities and Major Regional Centres,2259,2259
2259,-33.307975,151.41344,Tuggerah,New South Wales,Cities and Major Regional Centres,2259,2259
2259,-33.13871,151.56533,Summerland Point,New South Wales,Cities and Major Regional Centres,2259,2259
2259,-33.125517,151.5825655,Point Wolstoncroft,New South Wales,Cities and Major Regional Centres,2259,2259
2264,-33.109562,151.485964,Morisset,New South Wales,Cities and Major Regional Centres,2264,2308
2267,-33.06698,151.579728,Wangi Wangi,New South Wales,Cities and Major Regional Centres,2264,2308
2280,-33.009555,151.667653,Floraville,New South Wales,Cities and Major Regional Centres,2264,2308
2281,-33.089592,151.637708,Swansea,New South Wales,Cities and Major Regional Centres,2264,2308
2281,-33.0920835,151.66036050000002,Swansea Heads,New South Wales,Cities and Major Regional Centres,2264,2308
2281,-33.114325,151.616827,Murrays Beach,New South Wales,Cities and Major Regional Centres,2264,2308
2282,-32.974208,151.644187,Warners Bay,New South Wales,Cities and Major Regional Centres,2264,2308
2283,-33.014654,151.598617,Toronto,New South Wales,Cities and Major Regional Centres,2264,2308
2283,-33.043761,151.5929,Rathmines,New South Wales,Cities and Major Regional Centres,2264,2308
2283,-33.0260975,151.593116,Kilaben Bay,New South Wales,Cities and Major Regional Centres,2264,2308
2284,-32.981668,151.606028,Woodrising,New South Wales,Cities and Major Regional Centres,2264,2308
2285,-32.93942,151.65919,Cardiff,New South Wales,Cities and Major Regional Centres,2264,2308
2285,-32.935699,151.644192,Glendale,New South Wales,Cities and Major Regional Centres,2264,2308
2287,-32.90173,151.67064,Wallsend,New South Wales,Cities and Major Regional Centres,2264,2308
2289,-32.942876,151.712043,Kotara,New South Wales,Cities and Major Regional Centres,2264,2308
2290,-32.962235,151.712146,Kahibah,New South Wales,Cities and Major Regional Centres,2264,2308
2291,-32.93795,151.76021,The Junction,New South Wales,Cities and Major Regional Centres,2264,2308
2291,-32.942348,151.751318,Merewether,New South Wales,Cities and Major Regional Centres,2264,2308
2292,-32.918837,151.732938,Broadmeadow,New South Wales,Cities and Major Regional Centres,2264,2308
