place_name,state,postcode,latitude,longitude,lga_name,category
Aarons Pass,New South Wales,2850,-32.87908461,149.80289077,Mid-Western,Regional centres and other regional areas
Abercrombie,New South Wales,2795,-33.3899598,149.55643644,Bathurst,Regional centres and other regional areas
Abercrombie River,New South Wales,2795,-33.91033162,149.34767205,Bathurst,Regional centres and other regional areas
Aberdare,New South Wales,2325,-32.84213894,151.38832105,Cessnock,Regional centres and other regional areas
Aberdeen (NSW),New South Wales,2336,-32.17381622,150.89161741,Upper Hunter,Regional centres and other regional areas
Aberfoyle,New South Wales,2350,-30.23630674,151.97861441,Armidale,Regional centres and other regional areas
Aberglasslyn,New South Wales,2320,-32.69485714,151.53394035,Maitland,Regional centres and other regional areas
Abermain,New South Wales,2326,-32.8332512,151.44920928,Cessnock,Regional centres and other regional areas
Abernethy,New South Wales,2325,-32.88752229,151.4022006,Cessnock,Regional centres and other regional areas
Abington (NSW),New South Wales,2350,-30.31806154,151.23637691,Uralla,Regional centres and other regional areas
Acacia Creek,New South Wales,2476,-28.37616929,152.31900386,Tenterfield,Regional centres and other regional areas
Adaminaby,New South Wales,2629,-36.01194695,148.78631867,Snowy Monaro,Regional centres and other regional areas
Adamstown,New South Wales,2289,-32.93823719,151.72536905,Newcastle,Cities and major regional centres
Adamstown Heights,New South Wales,2289,-32.94893136,151.71061411,Newcastle,Cities and major regional centres
Adelong,New South Wales,2729,-35.30663412,148.06976479,Snowy Valleys,Regional centres and other regional areas
Adjungbilly,New South Wales,2727,-35.04148807,148.44035912,Cootamundra-Gundagai,Regional centres and other regional areas
Afterlee,New South Wales,2474,-28.58083875,152.82553944,Kyogle,Regional centres and other regional areas
Agnes Banks,New South Wales,2753,-33.62238576,150.70243946,Penrith,Regional centres and other regional areas
Akolele,New South Wales,2546,-36.34808032,150.0760595,Eurobodalla,Regional centres and other regional areas
Albert,New South Wales,2873,-32.38477019,147.47690074,Lachlan,Regional centres and other regional areas
Albion Park,New South Wales,2527,-34.58223827,150.7772622,Shellharbour,Regional centres and other regional areas
Albion Park Rail,New South Wales,2527,-34.56182812,150.79487304,Shellharbour,Regional centres and other regional areas
Albury,New South Wales,2640,-36.07374266,146.91347495,Albury,Regional centres and other regional areas
Aldavilla,New South Wales,2440,-31.07422365,152.76204601,Kempsey,Regional centres and other regional areas
Alectown,New South Wales,2870,-32.91426186,148.26802016,Parkes,Regional centres and other regional areas
Alfredtown,New South Wales,2650,-35.15320347,147.54146111,Wagga Wagga,Regional centres and other regional areas
Alice,New South Wales,2469,-29.05336074,152.58966399,Clarence Valley,Regional centres and other regional areas
Alison (Central Coast - NSW),New South Wales,2259,-33.26467546,151.39669711,Central Coast (NSW),Cities and major regional centres
Alison (Dungog - NSW),New South Wales,2420,-32.42854811,151.77252391,Dungog,Regional centres and other regional areas
Allandale (NSW),New South Wales,2320,-32.72676741,151.41363381,Cessnock,Regional centres and other regional areas
Alleena,New South Wales,2671,-34.09397076,147.13349946,Bland,Regional centres and other regional areas
Allgomera,New South Wales,2441,-30.81815647,152.79552124,Nambucca Valley,Regional centres and other regional areas
Allworth,New South Wales,2425,-32.54144571,151.94508524,Mid-Coast,Regional centres and other regional areas
Allynbrook,New South Wales,2311,-32.35152921,151.54849678,Dungog,Regional centres and other regional areas
Alma Park,New South Wales,2659,-35.60099728,146.80080414,Greater Hume,Regional centres and other regional areas
Alpine,New South Wales,2575,-34.40870329,150.53680096,Wingecarribee,Regional centres and other regional areas
Alstonvale,New South Wales,2477,-28.79385848,153.44398647,Ballina,Regional centres and other regional areas
Alstonville,New South Wales,2477,-28.84055607,153.44969699,Ballina,Regional centres and other regional areas
Alumy Creek,New South Wales,2460,-29.64396003,152.95635401,Clarence Valley,Regional centres and other regional areas
Amaroo (NSW),New South Wales,2866,-33.16430985,148.92084699,Cabonne,Regional centres and other regional areas
Anabranch North,New South Wales,2648,-33.2963437,141.80230051,Wentworth,Regional centres and other regional areas
Anabranch South,New South Wales,2648,-33.71400103,141.68989222,Wentworth,Regional centres and other regional areas
Anambah,New South Wales,2320,-32.67918729,151.49505052,Maitland,Regional centres and other regional areas
Ando,New South Wales,2631,-36.733389,149.29424916,Snowy Monaro,Regional centres and other regional areas
Anembo,New South Wales,2621,-35.77530174,149.44797008,Snowy Monaro,Regional centres and other regional areas
Angledale,New South Wales,2550,-36.63450508,149.87496796,Bega Valley,Regional centres and other regional areas
Angledool,New South Wales,2834,-29.12161786,147.9287562,Walgett,Regional centres and other regional areas
Anglers Reach,New South Wales,2629,-36.01019356,148.68634092,Snowy Monaro,Regional centres and other regional areas
Angourie,New South Wales,2464,-29.47856647,153.35547609,Clarence Valley,Regional centres and other regional areas
Anna Bay,New South Wales,2316,-32.77035158,152.07448098,Port Stephens,Regional centres and other regional areas
Apple Tree Flat,New South Wales,2850,-32.69836538,149.70780529,Mid-Western,Regional centres and other regional areas
Appleby,New South Wales,2340,-30.96269248,150.82281416,Tamworth,Regional centres and other regional areas
Appletree Flat,New South Wales,2330,-32.51302191,150.85376982,Singleton,Regional centres and other regional areas
Apsley (NSW),New South Wales,2820,-32.62376679,148.94497966,Dubbo,Regional centres and other regional areas
Arable,New South Wales,2630,-36.38258062,148.98069699,Snowy Monaro,Regional centres and other regional areas
Arakoon,New South Wales,2431,-30.92205516,153.06302455,Kempsey,Regional centres and other regional areas
Araluen (NSW),New South Wales,2622,-35.63986212,149.81602082,Queanbeyan-Palerang,Regional centres and other regional areas
Aratula (NSW),New South Wales,2714,-35.77423348,145.28687039,Murray River,Regional centres and other regional areas
Arcadia Vale,New South Wales,2283,-33.06217485,151.57688715,Lake Macquarie,Cities and major regional centres
Ardglen,New South Wales,2338,-31.74699292,150.75534328,Liverpool Plains,Regional centres and other regional areas
Arding,New South Wales,2358,-30.57007705,151.52152169,Uralla,Regional centres and other regional areas
Ardlethan,New South Wales,2665,-34.34356211,146.85453331,Coolamon,Regional centres and other regional areas
Argalong,New South Wales,2720,-35.29423328,148.43684363,Snowy Valleys,Regional centres and other regional areas
Argenton,New South Wales,2284,-32.93503518,151.63064988,Lake Macquarie,Cities and major regional centres
Argents Hill,New South Wales,2449,-30.6091193,152.67151768,Nambucca Valley,Regional centres and other regional areas
Argoon,New South Wales,2707,-34.94042962,145.62168897,Murrumbidgee,Regional centres and other regional areas
Ariah Park,New South Wales,2665,-34.31079893,147.19710501,Temora,Regional centres and other regional areas
Arkell,New South Wales,2795,-33.73576584,149.38597064,Bathurst,Regional centres and other regional areas
Arkstone,New South Wales,2795,-34.09327127,149.63091213,Oberon,Regional centres and other regional areas
Armatree,New South Wales,2828,-31.44796798,148.46345612,Gilgandra,Regional centres and other regional areas
Armidale,New South Wales,2350,-30.50311925,151.66780007,Armidale,Regional centres and other regional areas
Arrawarra,New South Wales,2456,-30.05294596,153.19114882,Coffs Harbour,Regional centres and other regional areas
Arrawarra Headland,New South Wales,2456,-30.06822775,153.19567133,Coffs Harbour,Regional centres and other regional areas
Arthurville,New South Wales,2820,-32.55594101,148.73791873,Dubbo,Regional centres and other regional areas
Arumpo,New South Wales,2715,-33.81282443,142.67410132,Wentworth,Regional centres and other regional areas
