state,category,start_postcode,end_postcode
New South Wales,Cities and Major Regional Centres,2259,2259
New South Wales,Cities and Major Regional Centres,2264,2308
New South Wales,Cities and Major Regional Centres,2500,2526
New South Wales,Cities and Major Regional Centres,2528,2535
New South Wales,Cities and Major Regional Centres,2574,2574
New South Wales,Regional Centres and Other Regional Areas,2250,2258
New South Wales,Regional Centres and Other Regional Areas,2260,2263
New South Wales,Regional Centres and Other Regional Areas,2311,2490
New South Wales,Regional Centres and Other Regional Areas,2527,2527
New South Wales,Regional Centres and Other Regional Areas,2536,2551
New South Wales,Regional Centres and Other Regional Areas,2575,2739
New South Wales,Regional Centres and Other Regional Areas,2753,2754
New South Wales,Regional Centres and Other Regional Areas,2756,2758
New South Wales,Regional Centres and Other Regional Areas,2773,2898
Victoria,Cities and Major Regional Centres,3211,3232
Victoria,Cities and Major Regional Centres,3235,3235
Victoria,Cities and Major Regional Centres,3240,3240
Victoria,Cities and Major Regional Centres,3328,3328
Victoria,Cities and Major Regional Centres,3330,3333
Victoria,Cities and Major Regional Centres,3340,3340
Victoria,Cities and Major Regional Centres,3342,3342
Victoria,Regional Centres and Other Regional Areas,3097,3099
Victoria,Regional Centres and Other Regional Areas,3139,3139
Victoria,Regional Centres and Other Regional Areas,3233,3234
Victoria,Regional Centres and Other Regional Areas,3236,3239
Victoria,Regional Centres and Other Regional Areas,3241,3325
Victoria,Regional Centres and Other Regional Areas,3329,3329
Victoria,Regional Centres and Other Regional Areas,3334,3334
Victoria,Regional Centres and Other Regional Areas,3341,3341
Victoria,Regional Centres and Other Regional Areas,3345,3424
Victoria,Regional Centres and Other Regional Areas,3430,3799
Victoria,Regional Centres and Other Regional Areas,3809,3909
Victoria,Regional Centres and Other Regional Areas,3912,3971
Victoria,Regional Centres and Other Regional Areas,3978,3996
